First Name;Last Name;Email;Application Date;Country;YOE;Seniority;Technology;Code Challenge Score;Technical Interview Score
Bernadette;Langworth;leonard91@yahoo.com;2021-02-26;Norway;2;Intern;Data Engineer;3;3
Camryn;Reynolds;zelda56@hotmail.com;2021-09-09;Panama;10;Intern;Data Engineer;2;10
Larue;Spinka;okey_schultz41@gmail.com;2020-04-14;Belarus;4;Mid-Level;Client Success;10;9
Arch;Spinka;elvera_kulas@yahoo.com;2020-10-01;Eritrea;25;Trainee;QA Manual;7;1
Larue;Altenwerth;minnie.gislason@gmail.com;2020-05-20;Myanmar;13;Mid-Level;Social Media Community Management;9;7
Alec;Abbott;juanita_hansen@gmail.com;2019-08-17;Zimbabwe;8;Junior;Adobe Experience Manager;2;9
Allison;Jacobs;alba_rolfson27@yahoo.com;2018-05-18;Wallis and Futuna;19;Trainee;Sales;2;9
Nya;Skiles;madisen.zulauf@gmail.com;2021-12-09;Myanmar;1;Lead;Mulesoft;2;5
Mose;Lakin;dale_murazik@hotmail.com;2018-03-13;Italy;18;Lead;Social Media Community Management;7;10
Terrance;Zieme;dustin31@hotmail.com;2022-04-08;Timor-Leste;25;Lead;DevOps;2;0
Aiyana;Goodwin;vallie.damore@yahoo.com;2019-09-22;Armenia;24;Intern;Development - CMS Backend;4;9
Emilia;Waelchi;peter.grady@gmail.com;2020-07-15;French Southern Territories;28;Lead;DevOps;7;4
Terrell;Streich;meta92@yahoo.com;2021-12-27;Chad;3;Mid-Level;Salesforce;5;10
Hilda;Rodriguez;jordan.hyatt@hotmail.com;2020-05-09;El Salvador;16;Junior;System Administration;7;8
Hope;Hansen;clemmie.bruen@hotmail.com;2019-10-12;Mozambique;18;Architect;Security;4;1
Arno;Altenwerth;cheyenne_rau2@gmail.com;2018-10-18;Brunei Darussalam;21;Mid-Level;Game Development;4;6
Betty;Crona;judd.wisozk55@gmail.com;2020-03-25;Morocco;28;Architect;Social Media Community Management;5;5
Clint;Oberbrunner;dwight_jacobson@gmail.com;2021-05-23;Saint Helena;19;Senior;Social Media Community Management;3;5
Donny;Boehm;lucile97@hotmail.com;2018-05-02;Portugal;20;Trainee;Development - CMS Frontend;4;2
Adah;Pouros;derick1@gmail.com;2021-04-13;Mozambique;3;Architect;Adobe Experience Manager;2;3
Winona;Zboncak;doyle78@yahoo.com;2019-03-21;Central African Republic;29;Architect;Game Development;0;2
Eulalia;Wiza;lauriane42@gmail.com;2020-07-12;Seychelles;11;Lead;Security Compliance;4;1
Crawford;Ullrich;bruce.koch7@yahoo.com;2021-01-09;Dominica;14;Junior;Game Development;8;8
Daphney;Price;einar.schmidt@yahoo.com;2021-07-27;Finland;24;Mid-Level;Development - Backend;7;5
Shana;Kuphal;sydnie_hoppe@yahoo.com;2019-11-18;Belgium;3;Architect;DevOps;5;6
Marion;Ullrich;darius.gleason1@hotmail.com;2018-04-25;Niue;6;Lead;Social Media Community Management;8;4
Dorian;Zboncak;kyleigh55@yahoo.com;2020-01-26;Japan;5;Lead;Design;8;10
Earlene;Ullrich;margaret44@hotmail.com;2021-12-04;Palestinian Territory;21;Junior;Security;6;8
Kurt;Stanton;anahi52@gmail.com;2022-01-05;Faroe Islands;0;Trainee;Business Analytics / Project Management;1;4
Anya;Gleichner;korbin_torp@gmail.com;2020-11-28;Latvia;0;Junior;Mulesoft;5;1
Telly;O'Conner;ansel.schultz20@gmail.com;2019-05-25;Saint Helena;25;Mid-Level;Security;5;0
Lucas;Wehner;alda.mosciski@yahoo.com;2018-09-21;Saudi Arabia;13;Senior;Development - Backend;3;7
Oscar;Grady;kayla.kuphal@yahoo.com;2018-03-04;Poland;29;Architect;Mulesoft;3;6
Bernie;Wolf;polly.kshlerin@hotmail.com;2021-08-19;Micronesia;20;Intern;Client Success;10;0
Tierra;Romaguera;pete.reichel@yahoo.com;2018-08-21;Panama;9;Senior;Adobe Experience Manager;8;8
Madyson;Hahn;tamia_braun61@hotmail.com;2020-06-24;Macao;17;Lead;DevOps;4;2
Abdullah;Gutkowski;bailey.kessler@gmail.com;2018-03-13;Bangladesh;9;Senior;Development - Frontend;3;5
Grayce;Boyer;matilda17@gmail.com;2019-01-07;Taiwan;27;Intern;Development - FullStack;8;0
Bell;Bruen;kylee.crona@gmail.com;2022-01-26;Slovakia (Slovak Republic);9;Intern;Development - CMS Frontend;10;4
Nyasia;Orn;dusty_wehner@hotmail.com;2019-12-16;Mexico;4;Intern;Business Intelligence;2;2
Daryl;Streich;shawna_sauer7@hotmail.com;2022-03-25;Nigeria;8;Lead;Development - FullStack;4;0
Jenifer;Gibson;daphney.schmidt@gmail.com;2018-10-04;Guadeloupe;26;Trainee;Database Administration;3;3
River;Erdman;dewayne50@gmail.com;2019-12-02;Bosnia and Herzegovina;4;Lead;Security Compliance;3;6
Heber;Luettgen;mariela82@yahoo.com;2020-09-10;Guyana;18;Senior;Security;5;0
Alejandra;Bergstrom;taya.stoltenberg@yahoo.com;2021-03-07;Croatia;27;Mid-Level;DevOps;0;0
Sim;Bernhard;mable94@gmail.com;2021-07-05;Svalbard & Jan Mayen Islands;13;Mid-Level;Development - Frontend;6;5
Davonte;Stamm;emerson.grady99@yahoo.com;2021-04-09;Yemen;11;Junior;DevOps;7;8
Nona;Purdy;ryleigh71@hotmail.com;2019-04-26;Nigeria;11;Intern;Game Development;2;8
Jo;Hane;brooke.mann@yahoo.com;2020-12-24;Ukraine;10;Senior;Adobe Experience Manager;6;2
Ashlynn;Kirlin;lewis_kirlin@gmail.com;2021-03-28;Zambia;28;Lead;Business Analytics / Project Management;2;9
Delta;Little;marcos_erdman@yahoo.com;2020-09-23;Wallis and Futuna;30;Junior;DevOps;8;7
Cali;Leannon;hellen.connelly@yahoo.com;2018-03-05;Palestinian Territory;24;Architect;Development - FullStack;2;8
Johathan;McKenzie;martina47@yahoo.com;2021-06-26;Paraguay;26;Senior;Game Development;5;5
Brian;Wehner;richie.schaefer@gmail.com;2022-02-27;Puerto Rico;18;Senior;Security;10;10
Junior;Robel;keyshawn.collins65@yahoo.com;2022-03-26;Madagascar;3;Architect;Data Engineer;9;2
Korey;Hansen;norwood67@hotmail.com;2018-10-26;Bulgaria;19;Trainee;Business Analytics / Project Management;10;7
Zola;Stiedemann;dovie81@yahoo.com;2021-09-06;Jersey;18;Lead;Game Development;8;5
Kenneth;Schultz;abigail13@yahoo.com;2021-10-01;Yemen;27;Lead;Development - CMS Frontend;6;1
Verona;Reinger;katrine.schaefer@hotmail.com;2018-06-11;French Polynesia;27;Architect;Development - CMS Backend;3;8
Darian;Kris;jack62@gmail.com;2021-01-01;United States of America;4;Mid-Level;Salesforce;9;4
Blanche;Jaskolski;giles.langworth@hotmail.com;2019-06-04;Mali;11;Junior;Security Compliance;6;5
Norberto;Roob;lonny_miller66@gmail.com;2018-08-28;Anguilla;4;Lead;Sales;6;3
Judy;Bartoletti;ryann.huels8@hotmail.com;2018-04-30;Holy See (Vatican City State);5;Junior;Development - Backend;5;7
Leola;Hansen;ken.kuhn29@gmail.com;2022-01-13;Andorra;21;Lead;QA Automation;5;10
Trisha;Larkin;alberta28@yahoo.com;2021-01-24;Republic of Korea;30;Lead;Security Compliance;9;8
Kathryne;Balistreri;shanel87@gmail.com;2018-05-25;Turkey;7;Lead;Business Analytics / Project Management;2;2
Macey;Mante;letha70@gmail.com;2020-01-26;Heard Island and McDonald Islands;18;Trainee;Technical Writing;4;1
Olin;Olson;rico.carroll38@gmail.com;2021-07-18;Malta;25;Mid-Level;Sales;10;5
Jackie;Erdman;jazmyn_wiza21@yahoo.com;2022-04-11;Micronesia;9;Trainee;QA Manual;4;3
Rogers;Brown;orin20@hotmail.com;2021-10-14;Liechtenstein;30;Junior;Development - Frontend;9;3
Ines;Marvin;elenor81@hotmail.com;2018-09-08;Equatorial Guinea;19;Mid-Level;Social Media Community Management;7;5
Jordy;Gibson;euna.jacobi@gmail.com;2020-01-02;Mexico;29;Architect;Business Analytics / Project Management;5;6
Kristopher;Farrell;ahmad75@hotmail.com;2019-12-20;Algeria;10;Architect;Adobe Experience Manager;8;3
Green;Upton;lempi_ankunding87@hotmail.com;2021-07-11;Falkland Islands (Malvinas);19;Architect;Salesforce;10;6
Annamarie;Harvey;barton24@gmail.com;2018-07-17;Puerto Rico;16;Trainee;Game Development;5;0
Tabitha;Simonis;ella.mcclure57@hotmail.com;2021-07-21;Ecuador;15;Senior;Development - Backend;0;1
Pearlie;Baumbach;charles_denesik@yahoo.com;2020-11-09;Jamaica;10;Junior;Development - Frontend;7;2
Nikolas;Bauch;kaleigh.yost48@gmail.com;2018-08-09;Eritrea;13;Mid-Level;Business Intelligence;4;1
Mara;Jast;antonina.rau64@gmail.com;2020-01-06;San Marino;7;Senior;Mulesoft;8;0
Fermin;Crooks;jackson23@hotmail.com;2019-03-06;Malawi;11;Lead;Social Media Community Management;5;10
Ruthie;Stark;saige.blanda@yahoo.com;2019-12-14;Albania;11;Junior;Design;10;2
Wayne;Nolan;lavern_waters@gmail.com;2019-12-10;Wallis and Futuna;12;Intern;DevOps;1;9
Wilfrid;Dibbert;walton_mitchell50@gmail.com;2018-09-01;Guinea-Bissau;9;Junior;Salesforce;7;5
Cristobal;Padberg;percy.quitzon97@hotmail.com;2018-10-23;Saint Helena;15;Trainee;Sales;6;10
Harvey;Hackett;anibal_gorczany63@gmail.com;2020-10-18;Brazil;18;Senior;DevOps;1;8
Dee;Feest;garth.nolan@gmail.com;2021-12-02;Cyprus;29;Junior;Development - Frontend;2;6
Neva;Wunsch;colby.feeney95@yahoo.com;2021-06-27;Botswana;17;Trainee;Security;9;4
Tyree;Ferry;virginie_durgan36@gmail.com;2020-11-23;Kiribati;30;Lead;Client Success;6;10
Macey;Bogan;hilario_purdy@yahoo.com;2022-06-17;Estonia;7;Junior;Business Intelligence;7;9
Gladyce;Fisher;idell.konopelski@hotmail.com;2021-11-05;Nepal;10;Mid-Level;Game Development;2;8
